,text,likes,retweets,replies,Year,lemmatized,polarity,subjectivity,polarity_text
35597,"TIM says it has completed 99% 5G coverage of San Marino. 
Coverage is provided by 8 macro sites with 3.5GHz antennas, and ""some"" with 26 GHz. ""Very shortly, 5G prime small cells will be installed"". Supplier = Nokia.

(San Marino is 61 sq km, pop 33,000 - Wikipedia)",25,10,1,2018,tim say ha completed 99 5g coverage san marino coverage provided by 8 macro site with 3 5ghz antenna some with 26 ghz very shortly 5g prime small cell will be installed supplier nokia san marino 61 sq km pop 33 000 wikipedia,-0.125,0.395,negative
35648,Dropped my phone and now have the black screen of death.. 2nd phone I've broken in the space of a month.. Nokia 3210 I need you back in my life,268,18,65,2018,dropped my phone now have black screen death 2nd phone ve broken space month nokia 3210 need you back my life,-0.14166666666666666,0.20833333333333334,negative
35913,Two unknown Nokia phones certified in Russia (TA-1087 and TA-1119) http://nokiamob.net/2018/07/05/two-unknown-nokia-phones-certified-in-russia-ta-1087-and-ta-1119/ …pic.twitter.com/5aWB7S7WWO,33,4,0,2018,two unknown nokia phone certified russia ta 1087 ta 1119 nokiamob net 2018 07 05 two unknown nokia phone certified russia ta 1087 ta 1119 pic twitter com 5awb7s7wwo,-0.06666666666666667,0.39999999999999997,negative
36986,Nokia's crazy 5-camera phone comes to the U.S. on March 3 https://trib.al/aBDdWrV pic.twitter.com/uS3VuRUkq6,24,13,1,2019,nokia crazy 5 camera phone come march 3 trib al abddwrv pic twitter com us3vurukq6,-0.6,0.9,negative
37211,i heard a princess nokia song for the 1st time yesterday.... isn't it just so fucked up how we can't unhear things,54,7,2,2018,heard princess nokia song 1st time yesterday isn t just so fucked up how we can t unhear thing,-0.6,0.7,negative
38097,"no, it's not. in the real version ariana says 'nokia minja'",22,0,0,2018,no not real version ariana say nokia minja,-0.1,0.30000000000000004,negative
38659,"Lenovo K-Series Back, Crazy Asus Deals, Moto G7, Nokia 7.1, Pie Update on Nokia, Mi TV - TTN#226
https://youtu.be/8oVLwv1KTAo ",166,43,30,2018,lenovo k series back crazy asus deal moto g7 nokia 7 1 pie update nokia mi tv ttn 226 youtu be 8ovlwv1ktao,-0.3,0.45,negative
39099,Nobody said nothing about you weak ass rap hoes PRINCESS NOKIA spoke about me & stated her opinion on colorism you bitches wanna feel important so bad,421,97,5,2018,nobody said nothing about you weak as rap hoe princess nokia spoke about me stated her opinion colorism you bitch wanna feel important so bad,-0.22499999999999995,0.7638888888888888,negative
39129,""" odd's that even thee "" 
Shot on : Nokia 8

A simple composition made interesting by using the simple rule of odd's with the sun hiding behind the clouds.

@Nokiamobile @nokia @NokianChetan @NokiamobBlog @NokiamobileIN @NokiaRevolution @nokianesia @CarlZeissIM  @carlzeisslensespic.twitter.com/S2difVWB6H",34,1,0,2018,odd that even thee shot nokia 8 simple composition made interesting by using simple rule odd with sun hiding behind cloud nokiamobile nokia nokianchetan nokiamobblog nokiamobilein nokiarevolution nokianesia carlzeissim carlzeisslensespic twitter com s2difvwb6h,-0.03888888888888888,0.40238095238095245,negative
39278,Shit! I dropped my Nokia,70,2,1,2018,shit dropped my nokia,-0.2,0.8,negative
39325,[Unseen Pic] @ParineetiChopra behind the scenes of her Nokia ad with @YianniTsapatoripic.twitter.com/qfPLZMoMUa,21,10,0,2018,unseen pic parineetichopra behind scene her nokia ad with yiannitsapatoripic twitter com qfplzmomua,-0.4,0.7,negative
40062,"@janerygaard of @nokia presents solution for healthy @5GCity with efficient #AI -enabled dynamic model for measuring air pollution, sensors connected to #5G mobile base stations. #EU5GConf #ehealthpic.twitter.com/qYLQv9MxCq",63,9,1,2019,janerygaard nokia present solution healthy 5gcity with efficient ai enabled dynamic model measuring air pollution sensor connected 5g mobile base station eu5gconf ehealthpic twitter com qylqv9mxcq,-0.07500000000000001,0.41666666666666663,negative
40085,"#EU5GConf: @nokia @janerygaard ""with enhanced connectivity/ #5G every hospital bed is not only a moving robot but also a diagnosis center!""  #eHealth @nokiahealthcarepic.twitter.com/zmnXe7JgrD",26,19,1,2019,eu5gconf nokia janerygaard with enhanced connectivity 5g every hospital bed not only moving robot but also diagnosis center ehealth nokiahealthcarepic twitter com zmnxe7jgrd,-0.05,0.55,negative
41075,Price drop: Nokia 3.1 is now down to $140 in the US https://nokiapoweruser.com/dealnokia-3-1-is-now-down-to-140-in-the-us/ …pic.twitter.com/i71iZKjvMZ,34,1,1,2019,price drop nokia 3 1 now down 140 nokiapoweruser com dealnokia 3 1 now down 140 pic twitter com i71izkjvmz,-0.15555555555555559,0.2888888888888889,negative
41096,"Mi 9 Launch Date, Xiaomi/OnePlus Users Dont Worry,I.E Use Mat Karo,Nokia 9, Chrome Dark Mode-TTN#333
https://www.youtube.com/watch?v=K_FwiHlAsiA …",163,21,14,2019,mi 9 launch date xiaomi oneplus user dont worry use mat karo nokia 9 chrome dark mode ttn 333 youtube com watch v k_fwihlasia,-0.15,0.4,negative
41221,"Goan Sunset...

Shot on @NokiaMobile 7+ (unprocessed)

@NokiamobBlog @Nokiapoweruser @NokiaMobile @sarvikas @nokia #nokia7plus #NokiaMobile #nokiaindiapic.twitter.com/7RSupQQTWp",47,3,1,2019,goan sunset shot nokiamobile 7 unprocessed nokiamobblog nokiapoweruser nokiamobile sarvikas nokia nokia7plus nokiamobile nokiaindiapic twitter com 7rsupqqtwp,-0.1,0.1,negative
41241,"Facebook-Whatsapp Merg Blocked,FAKE 5G,OPPO F11 Pro,Indian Smrtphone Growth,Pixel 4,Nokia 9-#761
https://www.youtube.com/watch?v=PCEjpd-O4lc …pic.twitter.com/XQirXxh2nZ",195,10,8,2019,facebook whatsapp merg blocked fake 5g oppo f11 pro indian smrtphone growth pixel 4 nokia 9 761 youtube com watch v pcejpd o4lc pic twitter com xqirxxh2nz,-0.5,1.0,negative
42373,"Dear TV Stations,
My children don't want TV. They play games, watch MP4 movies & series and YouTube vedios on the TV set, but they never watch.

In a few years, you won't have any customers. Like happened to Kodak & Nokia.",209,69,15,2019,dear tv station my child don t want tv play game watch mp4 movie series youtube vedios tv set but never watch few year you won t have any customer like happened kodak nokia,-0.30000000000000004,0.25,negative
42912,Nokia 9 pureview. @teampureview #nokia9 #Nokia9PureView #Nokia @TheLightCo @NokiaMobile @HMDGlobal  Downtown shot. Raw edited.pic.twitter.com/V6HsitMHkm,97,4,0,2019,nokia 9 pureview teampureview nokia9 nokia9pureview nokia thelightco nokiamobile hmdglobal downtown shot raw edited pic twitter com v6hsitmhkm,-0.23076923076923078,0.46153846153846156,negative
42968,"HMD unable to reproduce Nokia 9 PureView Fingerprint sensor issue, to investigate the faulty unit https://nokiapoweruser.com/hmd-unable-to-reproduce-nokia-9-pureview-fingerprint-sensor-issue-to-investigate-the-faulty-unit/ …pic.twitter.com/d5ob4a9VbR",46,6,5,2019,hmd unable reproduce nokia 9 pureview fingerprint sensor issue investigate faulty unit nokiapoweruser com hmd unable reproduce nokia 9 pureview fingerprint sensor issue investigate faulty unit pic twitter com d5ob4a9vbr,-0.5,0.5,negative
43225,"my dumass thought it was ""sim nokia knee"" and i was like wtf is thaT https://twitter.com/dickarpio/status/1120647995484020736 …",23,2,4,2019,my dumas thought wa sim nokia knee wa like wtf that twitter com dickarpio status 1120647995484020736,-0.5,1.0,negative
43335,"Matte Hard PC Phone Case For Nokia https://globalphonecase.com/for-nokia-6-nokia-5-nokia-3-2-case-cover-coque-matte-hard-pc-phone-case-for-nokia6-nokia5-nokia3-full-protective-case-back-cover/ … - $7.95
 
#oneplus6click #oneplus3t #oneplusphotography #oneplus3 #oneplusx #oneplusclickpic.twitter.com/4Ubwxz4I0P",31,0,0,2019,matte hard pc phone case nokia globalphonecase com nokia 6 nokia 5 nokia 3 2 case cover coque matte hard pc phone case nokia6 nokia5 nokia3 full protective case back cover 7 95 oneplus6click oneplus3t oneplusphotography oneplus3 oneplusx oneplusclickpic twitter com 4ubwxz4i0p,-0.05833333333333335,0.4083333333333333,negative
43718,"Nokia had 43 different phones
Apple only had the iPhone

Nokias lasted for days
iPhones had to be charged every day

It's not about the size of your lineup or how long it takes to refill

#Tesla",41,8,3,2020,nokia had 43 different phone apple only had iphone nokias lasted day iphones had be charged every day not about size your lineup or how long take refill tesla,-0.016666666666666666,0.6666666666666666,negative
43934,"On Valentine's Day, I would get EVERY single girl in the grade a chocolate.

Despite being a hefty expense for an unemployed 14yo, juggling 40+ girls is a scheduling nightmare!

My Nokia 3310 couldn't handle the picture messages, movie date requests & family braai invites.",68,11,4,2020,valentine day would get every single girl grade chocolate despite being hefty expense an unemployed 14yo juggling 40 girl scheduling nightmare my nokia 3310 couldn t handle picture message movie date request family braai invite,-0.07142857142857142,0.21428571428571427,negative
43959,"Nokia 2.3 launched in US. Price, offers & other details https://nokiapoweruser.com/nokia-2-3-launched-in-us-price-offers-other-details/ …pic.twitter.com/1qqm9jlUce",49,1,1,2020,nokia 2 3 launched price offer other detail nokiapoweruser com nokia 2 3 launched price offer other detail pic twitter com 1qqm9jluce,-0.125,0.375,negative
44076,I know I’m slow but I just learned about Tierra Whack and Princess Nokia today. I really like their stuff. What other artists should I pay attention to?,56,1,16,2019,know m slow but just learned about tierra whack princess nokia today really like their stuff what other artist should pay attention,-0.07500000000000001,0.325,negative
44113,"What's with all the LOW RESOLUTIONS camera shots of tragic events.  Low frame rates, low picture quality.  Were all the participants required to purchase old Nokia phones at garage sales before ""tragedy"" struck?",52,14,1,2019,what with all low resolution camera shot tragic event low frame rate low picture quality were all participant required purchase old nokia phone at garage sale before tragedy struck,-0.13,0.37,negative
44258,"If you ever feel useless,
Just remember that  someone once invented a cover for Nokia 3310. pic.twitter.com/j52njemHAx",24,1,4,2019,if you ever feel useless just remember that someone once invented cover nokia 3310 pic twitter com j52njemhax,-0.5,0.2,negative
44900,Exclusive: Official EAN details for Nokia 6.2 and 7.2 common clear case & Flip cover confirm their external similarity https://nokiapoweruser.com/exclusive-official-ean-details-for-nokia-6-2-and-7-2-common-clear-case-flip-cover-confirm-their-external-similarity/ …pic.twitter.com/CvqC01Qqia,43,4,1,2019,exclusive official ean detail nokia 6 2 7 2 common clear case flip cover confirm their external similarity nokiapoweruser com exclusive official ean detail nokia 6 2 7 2 common clear case flip cover confirm their external similarity pic twitter com cvqc01qqia,-0.06666666666666665,0.3277777777777778,negative
44919,WHY WONT POKEMON GO WORK ON MY NOKIA BLOKIA SUCH A SHIT GAME 0 STARS lmao,23,0,0,2019,why wont pokemon work my nokia blokia such shit game 0 star lmao,-2.7755575615628914e-17,0.675,negative
44996,#Nokia - unknown nokia 'Starlord' Runmark Leaks http://www.slashleaks.com/l/unknown-nokia-starlord-runmark-leaks …pic.twitter.com/8yQ70z2Z7t,98,10,2,2019,nokia unknown nokia starlord runmark leak slashleaks com l unknown nokia starlord runmark leak pic twitter com 8yq70z2z7t,-0.1,0.6,negative
45095,Moving house unearths some gems (and some horrors) this photo is my life in mobile phones - minus a few I traded in. Is your first phone here? #nokia #motorola #blackberry #mobile #mobilephone #flashbackpic.twitter.com/gcabkWRB5O,580,21,175,2019,moving house unearths some gem some horror this photo my life mobile phone minus few traded your first phone here nokia motorola blackberry mobile mobilephone flashbackpic twitter com gcabkwrb5o,-0.01666666666666668,0.17777777777777778,negative
45203,"On this Eid-ul-Adha we've decided to sell our 6 digits top-notch phones, branded clothes, expensive car & homes

From this Eid, we'll use Nokia 3310, wear cheap clothes frm Landaa&commute on CD70

Money saved will be donated to the poor

(All Pak leftist & liberals association)",186,63,2,2019,this eid ul adha we ve decided sell our 6 digit top notch phone branded clothes expensive car home from this eid we ll use nokia 3310 wear cheap clothes frm landaa commute cd70 money saved will be donated poor all pak leftist liberal association,-0.01,0.62,negative
45278,"Nokia 7.2 was recently spotted on a benchmarking site ahead of next month's expected launch 
https://gadgets.ndtv.com/mobiles/news/nokia-7-2-geekbench-listing-6gb-ram-octa-core-soc-android-pie-2083371 …?",38,6,0,2019,nokia 7 2 wa recently spotted benchmarking site ahead next month expected launch gadget ndtv com mobile news nokia 7 2 geekbench listing 6gb ram octa core soc android pie 2083371,-0.03333333333333333,0.21666666666666667,negative
45549,"In High School I once had this Nokia 5230 touch phone that had an LCD that would go white when it got cold. So in winter like this haaa the whole season it would be white. So my winter relationships would always go into ""hibernation mode"" during seasons like these.
",116,26,4,2019,high school once had this nokia 5230 touch phone that had an lcd that would white when got cold so winter like this haaa whole season would be white so my winter relationship would always into hibernation mode during season like these,-0.04799999999999999,0.388,negative
45563,"Tech Talks #861 - Fake Samsung App, Nokia Triple Cam, Pixel 4 Cam, OnePlus on Fire, PUBG Lite Beta https://youtu.be/RFKD3p4pogw  via @YouTubeIndia",1380,54,35,2019,tech talk 861 fake samsung app nokia triple cam pixel 4 cam oneplus fire pubg lite beta youtu be rfkd3p4pogw youtubeindia,-0.5,1.0,negative
45584,I'd eat your  till you vibrate harder than a nokia 3310 on a table  pic.twitter.com/jVFvZm2cwW,182,87,12,2019,d eat your till you vibrate harder than nokia 3310 table pic twitter com jvfvzm2cww,-0.1,0.0,negative
45715,A mystery Nokia phone leaked on the web has 3 rear cameras placed inside a round camera module. https://www.indiatoday.in/technology/news/story/unnamed-nokia-smartphone-leaks-with-3-rear-cameras-could-be-new-nokia-8-series-phone-1563531-2019-07-06 …,25,4,0,2019,mystery nokia phone leaked web ha 3 rear camera placed inside round camera module indiatoday technology news story unnamed nokia smartphone leak with 3 rear camera could be new nokia 8 series phone 1563531 2019 07 06,-0.03181818181818183,0.42727272727272725,negative
45742,some of you people never had fake versions of your tunes sold as 8bit nokia ringtones.. and it shows  pic.twitter.com/ZErLE2YnIf,45,1,2,2019,some you people never had fake version your tune sold a 8bit nokia ringtones show pic twitter com zerle2ynif,-0.5,1.0,negative
45987,"'We are Nokia and the iPhone is coming': Gunsberg likens coal-fired power to outdated tech …

THE HOST of Bachelorette??? http://www.abc.net.au/news/2020-02-11/q&a-climate-change-coal-power-osher-gunsberg/11951766 …",26,9,12,2020,we are nokia iphone coming gunsberg likens coal fired power outdated tech host bachelorette abc net au news 2020 02 11 q climate change coal power osher gunsberg 11951766,-0.20000000000000004,0.3166666666666667,negative
